item_category,item,ambiguity,length,resolution,finality,sentence,critical_word_index,final_word_index
critical,6,ambiguous,long,,nonfinal,When the boy hid his toy from childhood fell off the table.,8,11
critical,6,ambiguous,short,,nonfinal,When the boy hid his toy fell off the table.,6,9
critical,6,unambiguous,long,comma,nonfinal,"When the boy hid, his toy from childhood fell off the table.",8,11
critical,6,unambiguous,short,comma,nonfinal,"When the boy hid, his toy fell off the table.",6,9
critical,6,unambiguous,long,object,nonfinal,When the boy hid himself his toy from childhood fell off the table.,9,12
critical,6,unambiguous,short,object,nonfinal,When the boy hid himself his toy fell off the table.,7,10
critical,7,ambiguous,long,,final,Whenever the wildlife documentary crew tries to film the bear hunting cautiously leaves.,12,12
critical,7,ambiguous,short,,final,Whenever the wildlife documentary crew tries to film the bear leaves.,10,10
critical,7,unambiguous,long,comma,final,"Whenever the wildlife documentary crew tries to film, the bear hunting cautiously leaves.",12,12
critical,7,unambiguous,short,comma,final,"Whenever the wildlife documentary crew tries to film, the bear leaves.",10,10
critical,7,unambiguous,long,object,final,Whenever the wildlife documentary crew tries to film a scene the bear hunting cautiously leaves.,14,14
critical,7,unambiguous,short,object,final,Whenever the wildlife documentary crew tries to film a scene the bear leaves.,12,12
critical,7,ambiguous,long,,nonfinal,Whenever the wildlife documentary crew tries to film the bear hunting cautiously leaves the area quickly.,12,15
critical,7,ambiguous,short,,nonfinal,Whenever the wildlife documentary crew tries to film the bear leaves the area quickly.,10,13
critical,7,unambiguous,long,comma,nonfinal,"Whenever the wildlife documentary crew tries to film, the bear hunting cautiously leaves the area quickly.",12,15
critical,7,unambiguous,short,comma,nonfinal,"Whenever the wildlife documentary crew tries to film, the bear leaves the area quickly.",10,13
critical,7,unambiguous,long,object,nonfinal,Whenever the wildlife documentary crew tries to film a scene the bear hunting cautiously leaves the area quickly.,14,17
critical,7,unambiguous,short,object,nonfinal,Whenever the wildlife documentary crew tries to film a scene the bear leaves the area quickly.,12,15
critical,8,ambiguous,long,,final,Since the company shut down their product line of streetwear disappeared.,10,10
critical,8,ambiguous,short,,final,Since the company shut down their product line disappeared.,8,8
critical,8,unambiguous,long,comma,final,"Since the company shut down, their product line of streetwear disappeared.",10,10
critical,8,unambiguous,short,comma,final,"Since the company shut down, their product line disappeared.",8,8
critical,8,unambiguous,long,object,final,Since the company shut down the clothing brand their product line of streetwear disappeared.,13,13
critical,8,unambiguous,short,object,final,Since the company shut down the clothing brand their product line disappeared.,11,11
critical,8,ambiguous,long,,nonfinal,Since the company shut down their product line of streetwear disappeared from the market.,10,13
critical,8,ambiguous,short,,nonfinal,Since the company shut down their product line disappeared from the market.,8,11
critical,8,unambiguous,long,comma,nonfinal,"Since the company shut down, their product line of streetwear disappeared from the market.",10,13
critical,8,unambiguous,short,comma,nonfinal,"Since the company shut down, their product line disappeared from the market.",8,11
critical,8,unambiguous,long,object,nonfinal,Since the company shut down the clothing brand their product line of streetwear disappeared from the market.,13,16
critical,8,unambiguous,short,object,nonfinal,Since the company shut down the clothing brand their product line disappeared from the market.,11,14
critical,9,ambiguous,long,,final,As the doctor lectured the student watching quietly listened.,8,8
critical,9,ambiguous,short,,final,As the doctor lectured the student listened.,6,6
critical,9,unambiguous,long,comma,final,"As the doctor lectured, the student watching quietly listened.",8,8
critical,9,unambiguous,short,comma,final,"As the doctor lectured, the student listened.",6,6
critical,9,unambiguous,long,object,final,As the doctor lectured the nurse the student watching quietly listened.,10,10
critical,9,unambiguous,short,object,final,As the doctor lectured the nurse the student listened.,8,8
critical,9,ambiguous,long,,nonfinal,As the doctor lectured the student watching quietly listened carefully for insightful tips.,8,12
critical,9,ambiguous,short,,nonfinal,As the doctor lectured the student listened carefully for insightful tips.,6,10
critical,9,unambiguous,long,comma,nonfinal,"As the doctor lectured, the student watching quietly listened carefully for insightful tips.",8,12
critical,9,unambiguous,short,comma,nonfinal,"As the doctor lectured, the student listened carefully for insightful tips.",6,10
critical,9,unambiguous,long,object,nonfinal,As the doctor lectured the nurse the student watching quietly listened carefully for insightful tips.,10,14
critical,9,unambiguous,short,object,nonfinal,As the doctor lectured the nurse the student listened carefully for insightful tips.,8,12
critical,10,ambiguous,long,,final,Because the bear attacked the campers barbecuing cheerfully fled.,8,8
critical,10,ambiguous,short,,final,Because the bear attacked the campers fled.,6,6
critical,10,unambiguous,long,comma,final,"Because the bear attacked, the campers barbecuing cheerfully fled.",8,8
critical,10,unambiguous,short,comma,final,"Because the bear attacked, the campers fled.",6,6
critical,10,unambiguous,long,object,final,Because the bear attacked the campground the campers barbecuing cheerfully fled.,10,10
critical,10,unambiguous,short,object,final,Because the bear attacked the campground the campers fled.,8,8
critical,10,ambiguous,long,,nonfinal,Because the bear attacked the campers barbecuing cheerfully fled in a panic.,8,11
critical,10,ambiguous,short,,nonfinal,Because the bear attacked the campers fled in a panic.,6,9
critical,10,unambiguous,long,comma,nonfinal,"Because the bear attacked, the campers barbecuing cheerfully fled in a panic.",8,11
critical,10,unambiguous,short,comma,nonfinal,"Because the bear attacked, the campers fled in a panic.",6,9
critical,10,unambiguous,long,object,nonfinal,Because the bear attacked the campground the campers barbecuing cheerfully fled in a panic.,10,13
critical,10,unambiguous,short,object,nonfinal,Because the bear attacked the campground the campers fled in a panic.,8,11
critical,11,ambiguous,long,,final,As the professor wrote the textbook on biology grew.,8,8
critical,11,ambiguous,short,,final,As the professor wrote the textbook grew.,6,6
critical,11,unambiguous,long,comma,final,"As the professor wrote, the textbook on biology grew.",8,8
critical,11,unambiguous,short,comma,final,"As the professor wrote, the textbook grew.",6,6
critical,11,unambiguous,long,object,final,As the professor wrote the new chapter the textbook on biology grew.,11,11
critical,11,unambiguous,short,object,final,As the professor wrote the new chapter the textbook grew.,9,9
critical,11,ambiguous,long,,nonfinal,As the professor wrote the textbook on biology grew much longer than expected.,8,12
critical,11,ambiguous,short,,nonfinal,As the professor wrote the textbook grew much longer than expected.,6,10
critical,11,unambiguous,long,comma,nonfinal,"As the professor wrote, the textbook on biology grew much longer than expected.",8,12
critical,11,unambiguous,short,comma,nonfinal,"As the professor wrote, the textbook grew much longer than expected.",6,10
critical,11,unambiguous,long,object,nonfinal,As the professor wrote the new chapter the textbook on biology grew much longer than expected.,11,15
critical,11,unambiguous,short,object,nonfinal,As the professor wrote the new chapter the textbook grew much longer than expected.,9,13
critical,12,ambiguous,long,,final,As the news channel broadcasted the message from the president spread.,10,10
critical,12,ambiguous,short,,final,As the news channel broadcasted the message spread.,7,7
critical,12,unambiguous,long,comma,final,"As the news channel broadcasted, the message from the president spread.",10,10
critical,12,unambiguous,short,comma,final,"As the news channel broadcasted, the message spread.",7,7
critical,12,unambiguous,long,object,final,As the news channel broadcasted the speech the message from the president spread.,12,12
critical,12,unambiguous,short,object,final,As the news channel broadcasted the speech the message spread.,9,9
critical,12,ambiguous,long,,nonfinal,As the news channel broadcasted the message from the president spread across the country.,10,13
critical,12,ambiguous,short,,nonfinal,As the news channel broadcasted the message spread across the country.,7,10
critical,12,unambiguous,long,comma,nonfinal,"As the news channel broadcasted, the message from the president spread across the country.",10,13
critical,12,unambiguous,short,comma,nonfinal,"As the news channel broadcasted, the message spread across the country.",7,10
critical,12,unambiguous,long,object,nonfinal,As the news channel broadcasted the speech the message from the president spread across the country.,12,15
critical,12,unambiguous,short,object,nonfinal,As the news channel broadcasted the speech the message spread across the country.,9,12
critical,13,ambiguous,long,,final,As the teenager drove the car for the family sputtered.,9,9
critical,13,ambiguous,short,,final,As the teenager drove the car sputtered.,6,6
critical,13,unambiguous,long,comma,final,"As the teenager drove, the car for the family sputtered.",9,9
critical,13,unambiguous,short,comma,final,"As the teenager drove, the car sputtered.",6,6
critical,13,unambiguous,long,object,final,As the teenager drove his friends the car for the family sputtered.,11,11
critical,13,unambiguous,short,object,final,As the teenager drove his friends the car sputtered.,8,8
critical,13,ambiguous,long,,nonfinal,As the teenager drove the car for the family sputtered to a halt.,9,12
critical,13,ambiguous,short,,nonfinal,As the teenager drove the car sputtered to a halt.,6,9
critical,13,unambiguous,long,comma,nonfinal,"As the teenager drove, the car for the family sputtered to a halt.",9,12
critical,13,unambiguous,short,comma,nonfinal,"As the teenager drove, the car sputtered to a halt.",6,9
critical,13,unambiguous,long,object,nonfinal,As the teenager drove his friends the car for the family sputtered to a halt.,11,14
critical,13,unambiguous,short,object,nonfinal,As the teenager drove his friends the car sputtered to a halt.,8,11
critical,14,ambiguous,long,,final,Before the recruiters could adapt the policy for hiring changed.,9,9
critical,14,ambiguous,short,,final,Before the recruiters could adapt the policy changed.,7,7
critical,14,unambiguous,long,comma,final,"Before the recruiters could adapt, the policy for hiring changed.",9,9
critical,14,unambiguous,short,comma,final,"Before the recruiters could adapt, the policy changed.",7,7
critical,14,unambiguous,long,object,final,Before the recruiters could adapt their strategies the policy for hiring changed.,11,11
critical,14,unambiguous,short,object,final,Before the recruiters could adapt their strategies the policy changed.,9,9
critical,14,ambiguous,long,,nonfinal,Before the recruiters could adapt the policy for hiring changed for a second time.,9,13
critical,14,ambiguous,short,,nonfinal,Before the recruiters could adapt the policy changed for a second time.,7,11
critical,14,unambiguous,long,comma,nonfinal,"Before the recruiters could adapt, the policy for hiring changed for a second time.",9,13
critical,14,unambiguous,short,comma,nonfinal,"Before the recruiters could adapt, the policy changed for a second time.",7,11
critical,14,unambiguous,long,object,nonfinal,Before the recruiters could adapt their strategies the policy for hiring changed for a second time.,11,15
critical,14,unambiguous,short,object,nonfinal,Before the recruiters could adapt their strategies the policy changed for a second time.,9,13
critical,15,ambiguous,long,,final,When the clumsy librarian tried to organize the stack of books leaning precariously toppled.,13,13
critical,15,ambiguous,short,,final,When the clumsy librarian tried to organize the stack of books toppled.,11,11
critical,15,unambiguous,long,comma,final,"When the clumsy librarian tried to organize, the stack of books leaning precariously toppled.",13,13
critical,15,unambiguous,short,comma,final,"When the clumsy librarian tried to organize, the stack of books toppled.",11,11
critical,15,unambiguous,long,object,final,When the clumsy librarian tried to organize the reading room the stack of books leaning precariously toppled.,16,16
critical,15,unambiguous,short,object,final,When the clumsy librarian tried to organize the reading room the stack of books toppled.,14,14
critical,15,ambiguous,long,,nonfinal,When the clumsy librarian tried to organize the stack of books leaning precariously toppled over onto the floor.,13,17
critical,15,ambiguous,short,,nonfinal,When the clumsy librarian tried to organize the stack of books toppled over onto the floor.,11,15
critical,15,unambiguous,long,comma,nonfinal,"When the clumsy librarian tried to organize, the stack of books leaning precariously toppled over onto the floor.",13,17
critical,15,unambiguous,short,comma,nonfinal,"When the clumsy librarian tried to organize, the stack of books toppled over onto the floor.",11,15
critical,15,unambiguous,long,object,nonfinal,When the clumsy librarian tried to organize the reading room the stack of books leaning precariously toppled over onto the floor.,16,20
critical,15,unambiguous,short,object,nonfinal,When the clumsy librarian tried to organize the reading room the stack of books toppled over onto the floor.,14,18
critical,16,ambiguous,long,,final,Because the majorette spun the baton made of steel flew.,9,9
critical,16,ambiguous,short,,final,Because the majorette spun the baton flew.,6,6
critical,16,unambiguous,long,comma,final,"Because the majorette spun, the baton made of steel flew.",9,9
critical,16,unambiguous,short,comma,final,"Because the majorette spun, the baton flew.",6,6
critical,16,unambiguous,long,object,final,Because the majorette spun herself the baton made of steel flew.,10,10
critical,16,unambiguous,short,object,final,Because the majorette spun herself the baton flew.,7,7
critical,16,ambiguous,long,,nonfinal,Because the majorette spun the baton made of steel flew from her hands.,9,12
critical,16,ambiguous,short,,nonfinal,Because the majorette spun the baton flew from her hands.,6,9
critical,16,unambiguous,long,comma,nonfinal,"Because the majorette spun, the baton made of steel flew from her hands.",9,12
critical,16,unambiguous,short,comma,nonfinal,"Because the majorette spun, the baton flew from her hands.",6,9
critical,16,unambiguous,long,object,nonfinal,Because the majorette spun herself the baton made of steel flew from her hands.,10,13
critical,16,unambiguous,short,object,nonfinal,Because the majorette spun herself the baton flew from her hands.,7,10
critical,17,ambiguous,long,,final,When the family packed the vases made of porcelain shattered.,9,9
critical,17,ambiguous,short,,final,When the family packed the vases shattered.,6,6
critical,17,unambiguous,long,comma,final,"When the family packed, the vases made of porcelain shattered.",9,9
critical,17,unambiguous,short,comma,final,"When the family packed, the vases shattered.",6,6
critical,17,unambiguous,long,object,final,When the family packed their belongings the vases made of porcelain shattered.,11,11
critical,17,unambiguous,short,object,final,When the family packed their belongings the vases shattered.,8,8
critical,17,ambiguous,long,,nonfinal,When the family packed the vases made of porcelain shattered into many pieces.,9,12
critical,17,ambiguous,short,,nonfinal,When the family packed the vases shattered into many pieces.,6,9
critical,17,unambiguous,long,comma,nonfinal,"When the family packed, the vases made of porcelain shattered into many pieces.",9,12
critical,17,unambiguous,short,comma,nonfinal,"When the family packed, the vases shattered into many pieces.",6,9
critical,17,unambiguous,long,object,nonfinal,When the family packed their belongings the vases made of porcelain shattered into many pieces.,11,14
critical,17,unambiguous,short,object,nonfinal,When the family packed their belongings the vases shattered into many pieces.,8,11
critical,18,ambiguous,long,,final,After the college shut down the parties in the fraternity stopped.,10,10
critical,18,ambiguous,short,,final,After the college shut down the parties stopped.,7,7
critical,18,unambiguous,long,comma,final,"After the college shut down, the parties in the fraternity stopped.",10,10
critical,18,unambiguous,short,comma,final,"After the college shut down, the parties stopped.",7,7
critical,18,unambiguous,long,object,final,After the college shut down the campus the parties in the fraternity stopped.,12,12
critical,18,unambiguous,short,object,final,After the college shut down the campus the parties stopped.,9,9
critical,18,ambiguous,long,,nonfinal,After the college shut down the parties in the fraternity stopped for the year.,10,13
critical,18,ambiguous,short,,nonfinal,After the college shut down the parties stopped for the year.,7,10
critical,18,unambiguous,long,comma,nonfinal,"After the college shut down, the parties in the fraternity stopped for the year.",10,13
critical,18,unambiguous,short,comma,nonfinal,"After the college shut down, the parties stopped for the year.",7,10
critical,18,unambiguous,long,object,nonfinal,After the college shut down the campus the parties in the fraternity stopped for the year.,12,15
critical,18,unambiguous,short,object,nonfinal,After the college shut down the campus the parties stopped for the year.,9,12
critical,19,ambiguous,long,,final,Once the contractor remodeled the house that was neglected transformed.,9,9
critical,19,ambiguous,short,,final,Once the contractor remodeled the house transformed.,6,6
critical,19,unambiguous,long,comma,final,"Once the contractor remodeled, the house that was neglected transformed.",9,9
critical,19,unambiguous,short,comma,final,"Once the contractor remodeled, the house transformed.",6,6
critical,19,unambiguous,long,object,final,Once the contractor remodeled the exterior the house that was neglected transformed.,11,11
critical,19,unambiguous,short,object,final,Once the contractor remodeled the exterior the house transformed.,8,8
critical,19,ambiguous,long,,nonfinal,Once the contractor remodeled the house that was neglected transformed into a modern masterpiece.,9,13
critical,19,ambiguous,short,,nonfinal,Once the contractor remodeled the house transformed into a modern masterpiece.,6,10
critical,19,unambiguous,long,comma,nonfinal,"Once the contractor remodeled, the house that was neglected transformed into a modern masterpiece.",9,13
critical,19,unambiguous,short,comma,nonfinal,"Once the contractor remodeled, the house transformed into a modern masterpiece.",6,10
critical,19,unambiguous,long,object,nonfinal,Once the contractor remodeled the exterior the house that was neglected transformed into a modern masterpiece.,11,15
critical,19,unambiguous,short,object,nonfinal,Once the contractor remodeled the exterior the house transformed into a modern masterpiece.,8,12
critical,20,ambiguous,long,,final,When the supervisor called the employees who were available gathered.,9,9
critical,20,ambiguous,short,,final,When the supervisor called the employees gathered.,6,6
critical,20,unambiguous,long,comma,final,"When the supervisor called, the employees who were available gathered.",9,9
critical,20,unambiguous,short,comma,final,"When the supervisor called, the employees gathered.",6,6
critical,20,unambiguous,long,object,final,When the supervisor called the team the employees who were available gathered.,11,11
critical,20,unambiguous,short,object,final,When the supervisor called the team the employees gathered.,8,8
critical,20,ambiguous,long,,nonfinal,When the supervisor called the employees who were available gathered in the meeting room.,9,13
critical,20,ambiguous,short,,nonfinal,When the supervisor called the employees gathered in the meeting room.,6,10
critical,20,unambiguous,long,comma,nonfinal,"When the supervisor called, the employees who were available gathered in the meeting room.",9,13
critical,20,unambiguous,short,comma,nonfinal,"When the supervisor called, the employees gathered in the meeting room.",6,10
critical,20,unambiguous,long,object,nonfinal,When the supervisor called the team the employees who were available gathered in the meeting room.,11,15
critical,20,unambiguous,short,object,nonfinal,When the supervisor called the team the employees gathered in the meeting room.,8,12
critical,21,ambiguous,long,,final,Once the detective investigated the politician accepting bribes resigned.,8,8
critical,21,ambiguous,short,,final,Once the detective investigated the politician resigned.,6,6
critical,21,unambiguous,long,comma,final,"Once the detective investigated, the politician accepting bribes resigned.",8,8
critical,21,unambiguous,short,comma,final,"Once the detective investigated, the politician resigned.",6,6
critical,21,unambiguous,long,object,final,Once the detective investigated him the politician accepting bribes resigned.,9,9
critical,21,unambiguous,short,object,final,Once the detective investigated him the politician resigned.,7,7
critical,21,ambiguous,long,,nonfinal,Once the detective investigated the politician accepting bribes resigned from office.,8,10
critical,21,ambiguous,short,,nonfinal,Once the detective investigated the politician resigned from office.,6,8
critical,21,unambiguous,long,comma,nonfinal,"Once the detective investigated, the politician accepting bribes resigned from office.",8,10
critical,21,unambiguous,short,comma,nonfinal,"Once the detective investigated, the politician resigned from office.",6,8
critical,21,unambiguous,long,object,nonfinal,Once the detective investigated him the politician accepting bribes resigned from office.,9,11
critical,21,unambiguous,short,object,nonfinal,Once the detective investigated him the politician resigned from office.,7,9
critical,22,ambiguous,long,,final,As the journalist recorded the demonstrators protesting angrily shouted.,8,8
critical,22,ambiguous,short,,final,As the journalist recorded the demonstrators shouted.,6,6
critical,22,unambiguous,long,comma,final,"As the journalist recorded, the demonstrators protesting angrily shouted.",8,8
critical,22,unambiguous,short,comma,final,"As the journalist recorded, the demonstrators shouted.",6,6
critical,22,unambiguous,long,object,final,As the journalist recorded the commotion the demonstrators protesting angrily shouted.,10,10
critical,22,unambiguous,short,object,final,As the journalist recorded the commotion the demonstrators shouted.,8,8
critical,22,ambiguous,long,,nonfinal,As the journalist recorded the demonstrators protesting angrily shouted to demand immediate change.,8,12
critical,22,ambiguous,short,,nonfinal,As the journalist recorded the demonstrators shouted to demand immediate change.,6,10
critical,22,unambiguous,long,comma,nonfinal,"As the journalist recorded, the demonstrators protesting angrily shouted to demand immediate change.",8,12
critical,22,unambiguous,short,comma,nonfinal,"As the journalist recorded, the demonstrators shouted to demand immediate change.",6,10
critical,22,unambiguous,long,object,nonfinal,As the journalist recorded the commotion the demonstrators protesting angrily shouted to demand immediate change.,10,14
critical,22,unambiguous,short,object,nonfinal,As the journalist recorded the commotion the demonstrators shouted to demand immediate change.,8,12
critical,23,ambiguous,long,,final,After the teacher finished grading the students studying engineering passed.,9,9
critical,23,ambiguous,short,,final,After the teacher finished grading the students passed.,7,7
critical,23,unambiguous,long,comma,final,"After the teacher finished grading, the students studying engineering passed.",9,9
critical,23,unambiguous,short,comma,final,"After the teacher finished grading, the students passed.",7,7
critical,23,unambiguous,long,object,final,After the teacher finished grading the final the students studying engineering passed.,11,11
critical,23,unambiguous,short,object,final,After the teacher finished grading the final the students passed.,9,9
critical,23,ambiguous,long,,nonfinal,After the teacher finished grading the students studying engineering passed the class.,9,11
critical,23,ambiguous,short,,nonfinal,After the teacher finished grading the students passed the class.,7,9
critical,23,unambiguous,long,comma,nonfinal,"After the teacher finished grading, the students studying engineering passed the class.",9,11
critical,23,unambiguous,short,comma,nonfinal,"After the teacher finished grading, the students passed the class.",7,9
critical,23,unambiguous,long,object,nonfinal,After the teacher finished grading the final the students studying engineering passed the class.,11,13
critical,23,unambiguous,short,object,nonfinal,After the teacher finished grading the final the students passed the class.,9,11
critical,24,ambiguous,long,,final,While the mechanic inspected the engine running on diesel hissed.,9,9
critical,24,ambiguous,short,,final,While the mechanic inspected the engine hissed.,6,6
critical,24,unambiguous,long,comma,final,"While the mechanic inspected, the engine running on diesel hissed.",9,9
critical,24,unambiguous,short,comma,final,"While the mechanic inspected, the engine hissed.",6,6
critical,24,unambiguous,long,object,final,While the mechanic inspected the vehicle the engine running on diesel hissed.,11,11
critical,24,unambiguous,short,object,final,While the mechanic inspected the vehicle the engine hissed.,8,8
critical,24,ambiguous,long,,nonfinal,While the mechanic inspected the engine running on diesel hissed as steam escaped.,9,12
critical,24,ambiguous,short,,nonfinal,While the mechanic inspected the engine hissed as steam escaped.,6,9
critical,24,unambiguous,long,comma,nonfinal,"While the mechanic inspected, the engine running on diesel hissed as steam escaped.",9,12
critical,24,unambiguous,short,comma,nonfinal,"While the mechanic inspected, the engine hissed as steam escaped.",6,9
critical,24,unambiguous,long,object,nonfinal,While the mechanic inspected the vehicle the engine running on diesel hissed as steam escaped.,11,14
critical,24,unambiguous,short,object,nonfinal,While the mechanic inspected the vehicle the engine hissed as steam escaped.,8,11
critical,25,ambiguous,long,,final,After the doctor left the patient with cardiac issues recovered.,9,9
critical,25,ambiguous,short,,final,After the doctor left the patient recovered.,6,6
critical,25,unambiguous,long,comma,final,"After the doctor left, the patient with cardiac issues recovered.",9,9
critical,25,unambiguous,short,comma,final,"After the doctor left, the patient recovered.",6,6
critical,25,unambiguous,long,object,final,After the doctor left the operating room the patient with cardiac issues recovered.,12,12
critical,25,unambiguous,short,object,final,After the doctor left the operating room the patient recovered.,9,9
critical,25,ambiguous,long,,nonfinal,After the doctor left the patient with cardiac issues recovered from the surgery.,9,12
critical,25,ambiguous,short,,nonfinal,After the doctor left the patient recovered from the surgery.,6,9
critical,25,unambiguous,long,comma,nonfinal,"After the doctor left, the patient with cardiac issues recovered from the surgery.",9,12
critical,25,unambiguous,short,comma,nonfinal,"After the doctor left, the patient recovered from the surgery.",6,9
critical,25,unambiguous,long,object,nonfinal,After the doctor left the operating room the patient with cardiac issues recovered from the surgery.,12,15
critical,25,unambiguous,short,object,nonfinal,After the doctor left the operating room the patient recovered from the surgery.,9,12
critical,26,ambiguous,long,,final,After the gardener watered the plants that were wilting revived.,9,9
critical,26,ambiguous,short,,final,After the gardener watered the plants revived.,6,6
critical,26,unambiguous,long,comma,final,"After the gardener watered, the plants that were wilting revived.",9,9
critical,26,unambiguous,short,comma,final,"After the gardener watered, the plants revived.",6,6
critical,26,unambiguous,long,object,final,After the gardener watered the flower bed the plants that were wilting revived.,12,12
